Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,466.000000,472.450012,460.250000,466.149994,462.999969,50319
2020-02-13,466.149994,482.700012,461.049988,477.450012,474.223602,111285
2020-02-14,477.450012,478.600006,466.200012,469.450012,466.277679,72210
2020-02-17,469.450012,472.899994,454.149994,459.000000,455.898285,25931
2020-02-18,453.000000,454.000000,445.100006,447.149994,444.128357,855271
2020-02-19,447.350006,451.799988,443.500000,445.100006,442.092224,33503
2020-02-20,444.850006,458.500000,444.799988,451.100006,448.051666,95422
2020-02-24,450.049988,451.000000,439.000000,442.649994,439.658752,41482
2020-02-25,442.000000,445.500000,436.049988,441.149994,438.168884,46715
2020-02-26,439.950012,439.950012,421.000000,431.350006,428.435120,53624
2020-02-27,429.899994,429.899994,415.000000,423.899994,421.035461,47515
2020-02-28,421.000000,421.000000,411.700012,415.250000,412.443939,33145
2020-03-02,420.000000,421.750000,414.000000,414.850006,412.046631,45730
2020-03-03,415.000000,419.899994,411.000000,414.350006,411.550018,523751
2020-03-04,411.049988,414.350006,398.750000,403.100006,403.100006,41306
2020-03-05,403.200012,409.350006,400.200012,402.850006,402.850006,24332
2020-03-06,398.000000,414.000000,393.049988,400.399994,400.399994,159598
2020-03-09,398.000000,398.399994,375.950012,380.700012,380.700012,168790
2020-03-11,385.000000,397.600006,377.750000,393.850006,393.850006,42499
2020-03-12,370.000000,379.750000,361.000000,367.549988,367.549988,101121
2020-03-13,344.399994,422.700012,344.399994,363.700012,363.700012,256013
2020-03-16,359.600006,360.000000,351.049988,354.450012,354.450012,135774
2020-03-17,354.200012,363.950012,332.000000,335.049988,335.049988,1057918
2020-03-18,340.000000,341.500000,286.200012,293.600006,293.600006,1322571
2020-03-19,286.000000,296.000000,285.700012,289.950012,289.950012,196206
2020-03-20,283.000000,295.000000,283.000000,294.100006,294.100006,81864
2020-03-23,265.000000,300.000000,249.000000,253.600006,253.600006,218455
2020-03-24,253.600006,267.950012,249.949997,254.500000,254.500000,41903
2020-03-25,254.500000,258.250000,249.550003,251.550003,251.550003,85429
2020-03-26,250.000000,271.750000,249.800003,254.800003,254.800003,161599
2020-03-27,264.200012,293.700012,258.100006,286.350006,286.350006,198640
2020-03-30,275.549988,297.799988,266.950012,281.299988,281.299988,64572
2020-03-31,282.049988,299.950012,273.049988,292.500000,292.500000,91145
2020-04-01,289.600006,290.000000,273.000000,275.549988,275.549988,31680
2020-04-03,275.549988,275.549988,259.250000,260.299988,260.299988,60635
2020-04-07,260.000000,260.000000,248.500000,250.850006,250.850006,215989
2020-04-08,251.000000,263.899994,250.800003,256.399994,256.399994,262298
